Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Weber,Nikolai,TVH,Portiere,22,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,19/20,B
Puhle,Matthias,GUM,Portiere,22,0,0,0,0,0,0.0,8,1,0,0,0,0,0,0,19/20,B
Kulhanek,Jan,COB,Portiere,23,0,0,0,0,0,0.0,9,1,0,0,0,0,0,0,19/20,B
Bliss,Sebastian,TUE,Portiere,23,0,0,0,0,0,0.0,4,1,0,0,0,0,0,0,19/20,B
Gorobtschuk,Stanislaw,EIS,Portiere,7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Hertlein,Felix,ASV,Portiere,24,0,0,0,0,0,0.0,4,1,0,0,0,0,0,0,19/20,B
Plaue,Dominik,TVH,Portiere,20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Wolf,Maximilian,KON,Portiere,19,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,19/20,B
Lange,Carsten,FER,Terzino Destro,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Nippes,Stefan,KRF,Portiere,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Boese,Rene,ELB,Ala Destra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Keutmann,Paul,KRF,Portiere,8,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,19/20,B
Zimmermann,Max,KRF,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Musil,Radek,AUE,Portiere,17,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Krechel,Oliver,ASV,Portiere,24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Paske,Maurice,TVE,Portiere,24,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,19/20,B
Genz,Fredrik,TUE,Portiere,23,0,0,0,0,0,0.0,6,0,0,0,1,0,0,0,19/20,B
Toth,Norman,KRF,Portiere,24,0,0,0,0,0,0.0,2,0,0,0,1,1,0,0,19/20,B
Potic,Nikola,VFL,Terzino Destro,5,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,19/20,B
Toelke,Simon,KON,Portiere,21,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,19/20,B
Schneider,Florian,FER,Terzino Destro,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Apfel,Fabian,COB,Portiere,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Van den Beucken,Mark,HSV,Portiere,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Halfmann,Hendrik,DOR,Portiere,8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Hasenforther,Lasse,GUM,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Franke,Luis,WÖW,Terzino Sinistro,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Wullenweber,Finn,HSV,Terzino Sinistro,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,19/20,B
Kokoszka,Marcel,HSV,Portiere,20,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,19/20,B
Dahmen,Cornelius,DOR,Portiere,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Urban,Lukas,SGB,Terzino Sinistro,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Ivic,Filip,GUM,Portiere,24,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,19/20,B
Mohs,Max,ELB,Portiere,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Michel,Linus,FER,Centrale,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Borchert,Julian,TUE,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Ingenpass,Niklas,TUE,Pivot,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Grzesinski,Mats,NLB,Portiere,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Bohne,Simon,TVH,Portiere,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Alaj,Armend,EIS,Ala Destra,7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Roth,Niklas,TVH,Terzino Sinistro,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Belter,Simon,TVH,Ala Destra,8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Preller,Max,COB,Ala Sinistra,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Uth,Till Bastian,TVH,Pivot,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Dreyer,Paul,KRF,Portiere,5,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,19/20,B
Kiesler,Tom,GUM,Terzino Sinistro,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Reimer,Jan,DOR,Ala Destra,10,0,0,0,0,0,0.0,0,0,1,0,0,1,0,0,19/20,B
Mircic,Matija,DOR,Centrale,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Perey,Oliver,GUM,Pivot,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Noack,Marius,EIS,Portiere,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Karic,Denis,EIS,Portiere,15,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,19/20,B
Durica,Marin,FER,Portiere,22,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Lucke,Ole,TVE,Portiere,9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Kozubik,Vojta,AUE,Terzino Destro,9,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,19/20,B
Leubner,Jonas,AUE,Terzino Sinistro,5,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,19/20,B
Potratz,Mattis,VFL,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,19/20,B
Fanger,Julius,GUM,Centrale,8,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,19/20,B
Mustafic,Dino,COB,Centrale,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Brune,Julius,NLB,Pivot,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Kinanah,Ali,DOR,Terzino Sinistro,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Kirschner,Tristan,TVH,Ala Destra,8,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,19/20,B
Muller,Jorg,TVH,Terzino Destro,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Hagen,Melf,VFL,Centrale,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Bochmann,Pascal,AUE,Portiere,6,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,19/20,B
Wellner,Leon,ELB,Pivot,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Bader,Jona,SGB,Ala Destra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Reich,Lucas,SGB,Portiere,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Mast,Tim,DOR,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Johannmeyer,Fynn,DOR,Terzino Destro,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Fehr,Andreas,EIS,Portiere,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Barth,Dario,FER,Ala Sinistra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Haseler,Mathis,GUM,Ala Destra,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19/20,B
Schafer,Christian,SGB,Ala Destra,34,308,234,74,131,103,0.7597,9,5,13,1,0,3,1,0,20/21,B
Skroblien,Tom,NLB,Ala Sinistra,35,292,216,76,130,86,0.7397,20,9,14,1,4,4,0,0,20/21,B
Wucherpfennig,Lukas,ELB,Ala Destra,36,260,209,51,122,87,0.8038,6,9,12,0,2,3,1,0,20/21,B
Weller,Niklas,HSV,Pivot,33,267,206,61,117,89,0.7715000000000001,8,25,4,17,12,31,4,0,20/21,B
Wesseling,Sven,TVE,Terzino Sinistro,35,340,205,135,158,47,0.6029,100,54,13,10,10,16,0,0,20/21,B
Savvas,Savvas,TVG,Terzino Sinistro,32,331,189,142,167,22,0.5710000000000001,65,44,10,7,4,9,0,0,20/21,B
Kammlodt,Adrian,AUE,Terzino Sinistro,36,346,186,160,185,1,0.5376,88,54,6,4,8,10,0,0,20/21,B
Bornhorn,Bengt,AUE,Pivot,35,229,183,46,94,89,0.7990999999999999,2,30,1,1,1,4,0,0,20/21,B
Kolodziej,Falk,FFB,Centrale,35,310,183,127,124,59,0.5903,131,57,19,5,10,18,1,0,20/21,B
Gress,Sebastian,ELB,Centrale,35,281,178,103,178,0,0.6335000000000001,122,33,7,13,4,5,0,0,20/21,B
Delic,Vedran,WHV,Ala Sinistra,34,244,178,66,93,85,0.7295,10,10,6,0,7,11,1,0,20/21,B
Hrstka,Jakub,DES,Ala Sinistra,32,228,173,55,123,50,0.7587999999999999,9,12,5,1,1,7,0,0,20/21,B
Huesmann,Fabian,ASV,Ala Sinistra,33,217,162,55,86,76,0.7465,4,13,5,9,3,10,1,0,20/21,B
Wolf,Tom,KON,Terzino Sinistro,25,253,162,91,97,65,0.6403,71,37,3,10,9,2,0,0,20/21,B
Lindskog Andersson,Julius,VFL,Centrale,36,264,162,102,86,76,0.6136,94,45,0,1,2,5,0,0,20/21,B
Tissier,Leif,HSV,Centrale,35,233,161,72,161,0,0.691,95,41,24,1,4,5,0,0,20/21,B
Eres,Josip,FER,Ala Destra,36,213,159,54,94,65,0.7465,5,20,7,0,4,2,1,0,20/21,B
Genz,Jo Gerrit,ASV,Terzino Destro,36,259,158,101,154,4,0.61,45,21,5,7,7,13,1,0,20/21,B
Richter,Benjamin,DOR,Centrale,36,237,156,81,67,89,0.6581999999999999,43,34,6,0,0,0,0,0,20/21,B
Snajder,Ivan,EIS,Ala Sinistra,36,217,155,62,116,39,0.7143,25,21,10,7,16,18,0,0,20/21,B
Loser,Timo,DES,Terzino Sinistro,36,265,154,111,154,0,0.5811,94,49,1,0,1,2,0,0,20/21,B
Holzner,Dirk,TVE,Ala Sinistra,36,230,153,77,98,55,0.6652,5,8,5,0,4,1,0,0,20/21,B
Lux,Maximilian,AUE,Ala Destra,36,210,152,58,141,11,0.7238,15,16,7,1,6,8,0,0,20/21,B
Sohmann,Vincent,DES,Centrale,36,243,151,92,80,71,0.6214,64,40,7,1,13,23,1,0,20/21,B
Weber,Ian,TVH,Centrale,35,260,149,111,135,14,0.5731,59,42,11,8,18,14,1,0,20/21,B
Dangers,Markus,KON,Pivot,36,200,148,52,146,2,0.74,10,32,4,6,16,25,2,0,20/21,B
Bozovic,Janko,GUM,Terzino Destro,36,254,145,109,108,37,0.5709000000000001,59,37,0,1,4,10,1,0,20/21,B
Blohme,Lukas,GUM,Ala Destra,35,213,143,70,136,7,0.6714,37,27,5,1,6,10,0,0,20/21,B
Jansen,Tom,TVG,Terzino Destro,35,258,143,115,143,0,0.5543,64,32,4,6,14,8,0,0,20/21,B
Santos,Raul,GUM,Ala Sinistra,31,200,139,61,84,55,0.695,6,16,16,0,3,7,0,0,20/21,B
Spohn,Valentin,NLB,Terzino Sinistro,36,263,139,124,139,0,0.5285,41,26,0,5,7,5,0,0,20/21,B
Matzken,Torben,FER,Centrale,35,195,136,59,114,22,0.6973999999999999,67,67,5,1,8,6,1,0,20/21,B
Bornemann,Andreas,FER,Terzino Destro,34,238,135,103,135,0,0.5672,39,40,2,8,5,7,0,0,20/21,B
Meuser,Andre,DOR,Terzino Destro,29,249,134,115,134,0,0.5382,64,42,2,12,17,17,1,0,20/21,B
Versteijnen,Niels Gerardus,VFL,Terzino Destro,31,236,134,102,115,19,0.5678,69,43,6,5,4,8,0,0,20/21,B
Huter,Ian,DOR,Centrale,36,230,132,98,132,0,0.5739,75,56,35,11,5,13,1,0,20/21,B
Dumcius,Mindaugas,ELB,Terzino Destro,36,242,130,112,130,0,0.5372,55,45,9,3,11,9,0,0,20/21,B
Saul,Alexander,EIS,Terzino Destro,34,245,128,117,121,7,0.5224,81,44,3,6,6,5,2,0,20/21,B
Michel,Mattis,FER,Pivot,34,157,126,31,82,44,0.8025,11,7,8,11,8,9,0,0,20/21,B
Strosack,Peter,NLB,Ala Destra,36,153,125,28,114,11,0.8170000000000001,25,11,11,0,2,10,2,0,20/21,B
Drechsler,Rene,WHV,Terzino Destro,35,250,123,127,123,0,0.492,84,66,3,3,5,10,0,0,20/21,B
Urban,Tomas,TVE,Ala Destra,32,163,120,43,103,17,0.7362000000000001,10,12,3,0,1,4,1,0,20/21,B
Wasielewski,Johannes,TVE,Terzino Destro,30,215,120,95,120,0,0.5581,46,41,4,5,11,20,0,0,20/21,B
Link,Jonas,SGB,Centrale,36,222,119,103,119,0,0.536,57,32,5,1,0,6,0,0,20/21,B
Krings,Merten,ASV,Centrale,27,211,116,95,116,0,0.5498,68,40,4,0,3,5,0,0,20/21,B
Engelmann,Yannick,FFB,Terzino Sinistro,36,194,115,79,115,0,0.5928,48,36,8,7,4,8,1,0,20/21,B
Weyhrauch,Willy,EIS,Ala Destra,35,185,114,71,97,17,0.6162,7,14,16,1,4,9,0,0,20/21,B
Schomig,Dominik,WÖW,Ala Sinistra,36,159,114,45,72,42,0.7170000000000001,13,15,7,0,2,0,1,0,20/21,B
Kaufmann,Steffen,WÖW,Terzino Destro,36,248,113,135,113,0,0.4556,118,56,5,3,9,5,0,0,20/21,B
Ebner,Dominik,NLB,Terzino Destro,34,201,112,89,112,0,0.5572,45,37,3,2,5,13,1,0,20/21,B
Bergemann,Thies,HSV,Ala Destra,36,173,112,61,112,0,0.6474,8,3,3,0,6,8,0,0,20/21,B
Reichl,Vit,TVH,Pivot,34,140,112,28,112,0,0.8,6,28,3,2,6,12,0,0,20/21,B
Horner,Max,FFB,Terzino Destro,35,231,111,120,108,3,0.4805,39,46,2,1,3,12,1,0,20/21,B
Schreiber,Hendrik,TVH,Terzino Sinistro,32,211,109,102,109,0,0.5166,49,39,7,4,4,7,0,0,20/21,B
Hermann,Alexander,GUM,Terzino Sinistro,27,188,108,80,108,0,0.5745,46,33,1,15,8,8,0,0,20/21,B
Matijasevic,Marko,TVG,Centrale,33,178,107,71,103,4,0.6011,55,44,7,2,6,9,1,0,20/21,B
Halfdansson,Arnar Birkir,AUE,Terzino Destro,36,229,107,122,107,0,0.4672,106,51,2,4,3,13,1,0,20/21,B
Thummler,Jonas,ELB,Pivot,35,128,106,22,106,0,0.8281000000000001,5,17,5,4,2,5,2,0,20/21,B
Lofstrom,Carl,VFL,Pivot,34,153,105,48,105,0,0.6862999999999999,8,17,11,20,16,13,1,0,20/21,B
Bruhn,Jasper,VFL,Terzino Destro,34,190,104,86,104,0,0.5474,28,24,15,6,10,9,0,0,20/21,B
Stumpf,Johannes,FFB,Centrale,33,176,104,72,104,0,0.5909,51,47,14,2,13,11,0,0,20/21,B
Fuss,Merlin,TVH,Terzino Destro,35,178,103,75,103,0,0.5787,38,14,11,4,12,9,0,0,20/21,B
Kretschmer,Finn,VFL,Ala Destra,35,158,101,57,101,0,0.6392,10,13,6,0,9,6,0,0,20/21,B
Senden,Alexander,DOR,Terzino Sinistro,30,185,100,85,100,0,0.5405,40,36,4,7,9,19,2,0,20/21,B
Bauer,Philipp,HSV,Centrale,34,170,99,71,99,0,0.5824,32,22,1,0,2,2,0,0,20/21,B
Claus,Dominik,SGB,Terzino Destro,34,147,98,49,98,0,0.6667000000000001,62,40,13,8,7,9,0,0,20/21,B
Heiny,Lutz,NLB,Terzino Sinistro,36,172,98,74,98,0,0.5698,82,34,1,4,11,14,1,0,20/21,B
Schneider,Julian,FER,Centrale,35,141,95,46,95,0,0.6738,16,16,12,6,13,21,1,0,20/21,B
Dayan,Yonatan,WÖW,Centrale,29,149,95,54,95,0,0.6376,36,29,9,2,4,7,0,0,20/21,B
Schmidt,Patrick,WÖW,Centrale,29,168,94,74,73,21,0.5595,39,23,3,1,3,7,2,0,20/21,B
Schneider,Timm,GUM,Centrale,35,165,92,73,92,0,0.5576,66,43,11,35,14,31,1,0,20/21,B
Rompf,Christian,TVH,Ala Sinistra,33,134,92,42,66,26,0.6866,7,4,11,6,5,9,0,0,20/21,B
Braun,Joschua,KON,Terzino Destro,30,146,92,54,80,12,0.6301,34,20,3,1,7,10,1,0,20/21,B
Huter,Patrick,DOR,Pivot,35,114,91,23,91,0,0.7981999999999999,9,22,8,16,14,19,2,0,20/21,B
Eisentrager,Florian,TVG,Ala Sinistra,31,141,89,52,76,13,0.6312,4,15,6,1,6,7,0,0,20/21,B
Konitz,Bartosz,WHV,Centrale,33,168,87,81,87,0,0.5179,95,45,11,1,6,5,0,0,20/21,B
Hahn,Tobias,TVH,Ala Destra,34,126,87,39,30,57,0.6905,12,3,5,0,6,7,0,0,20/21,B
Corak,Dino,TVG,Pivot,36,109,87,22,87,0,0.7981999999999999,15,22,5,5,13,15,1,0,20/21,B
Zahradnicek,Jan,DES,Ala Destra,36,139,87,52,87,0,0.6259,1,17,3,1,1,5,0,0,20/21,B
Schauer,Kuno,WHV,Centrale,30,166,86,80,86,0,0.5181,40,27,2,1,2,3,0,0,20/21,B
Orlowski,Marian,ASV,Terzino Sinistro,24,157,85,72,77,8,0.5414,70,42,1,2,9,6,0,0,20/21,B
Forstbauer,Jan,HSV,Terzino Destro,28,170,85,85,85,0,0.5,55,22,2,3,6,10,0,0,20/21,B
Reuland,Joshua,DOR,Ala Sinistra,18,117,84,33,62,22,0.7179000000000001,3,3,3,1,0,1,0,0,20/21,B
Kretschmer,Nils Holger,ELB,Terzino Sinistro,34,148,82,66,68,14,0.5540999999999999,73,25,10,16,13,31,3,0,20/21,B
Barthe,Paco,SGB,Centrale,36,122,82,40,78,4,0.6720999999999999,62,29,18,44,14,22,0,0,20/21,B
Vidarsson,Ellidi Snaer,GUM,Pivot,30,111,82,29,82,0,0.7387,14,22,12,35,16,22,0,0,20/21,B
Dicker,Daniel,EIS,Terzino Sinistro,32,163,81,82,81,0,0.4968999999999999,53,30,9,17,12,25,2,0,20/21,B
Seidler,Oliver,DES,Pivot,35,110,80,30,80,0,0.7273000000000001,2,15,3,15,13,21,1,0,20/21,B
Emanuel,Max,DES,Terzino Destro,33,154,78,76,78,0,0.5065,55,39,3,3,13,6,0,0,20/21,B
Seitz,Stephan,FFB,Terzino Destro,35,137,78,59,78,0,0.5693,27,28,3,0,4,8,2,0,20/21,B
Raguse,Mex,VFL,Terzino Sinistro,29,151,77,74,76,1,0.5099,27,15,0,2,7,11,0,0,20/21,B
Stuber,Frederic,TVE,Pivot,34,104,76,28,76,0,0.7308,12,28,3,26,15,35,1,0,20/21,B
Potisk,Martin,EIS,Centrale,33,117,76,41,76,0,0.6496,37,32,8,0,4,2,0,0,20/21,B
Kaulitz,Tim,FFB,Ala Sinistra,29,116,76,40,68,8,0.6552,0,5,10,1,6,1,2,0,20/21,B
Stark,Mario,TVG,Centrale,31,134,75,59,75,0,0.5597,75,30,0,8,8,9,0,0,20/21,B
Schulz,Michael,WÖW,Pivot,31,103,75,28,75,0,0.7282,8,18,5,15,11,22,2,0,20/21,B
Schwolow,Tobias,WHV,Centrale,22,142,75,67,73,2,0.5282,45,28,5,1,4,13,0,0,20/21,B
Prause,Julian,FFB,Pivot,36,105,74,31,74,0,0.7048000000000001,2,25,0,0,0,0,0,0,20/21,B
Tokic,Ante,EIS,Ala Destra,31,116,74,42,74,0,0.6379,28,21,9,9,8,10,2,0,20/21,B
Busch,Pierre,TVG,Ala Destra,14,101,73,28,46,27,0.7228,1,4,1,0,1,4,1,0,20/21,B
Wohler,Adrian,EIS,Ala Sinistra,33,98,72,26,35,37,0.7347,4,5,1,1,0,4,0,0,20/21,B
Brielmeier,Benedikt,WÖW,Terzino Sinistro,32,136,72,64,72,0,0.5294,53,36,9,7,9,11,0,0,20/21,B
Dahlhaus,Tim,SGB,Terzino Destro,36,147,72,75,72,0,0.4897999999999999,39,30,6,2,8,13,0,0,20/21,B
Brosch,Jan,ASV,Pivot,31,100,72,28,72,0,0.72,16,27,6,22,12,25,3,0,20/21,B
Pust,Yannick-Marcos,WHV,Ala Destra,23,114,72,42,72,0,0.6315999999999999,4,8,12,0,4,6,0,0,20/21,B
Von Boenigk,Jan,ASV,Terzino Destro,34,137,71,66,71,0,0.5182,57,24,6,2,2,15,0,0,20/21,B
Paraschiv,Sebastian,AUE,Centrale,35,113,70,43,70,0,0.6195,67,34,16,1,7,13,0,0,20/21,B
Axmann,Dominik,HSV,Terzino Sinistro,25,117,69,48,51,18,0.5897,19,7,8,6,5,12,0,0,20/21,B
Schneibel,Jannis,EIS,Centrale,24,113,69,44,67,2,0.6106,59,33,9,0,2,1,0,0,20/21,B
Schimmelbauer,Tobias,HSV,Ala Sinistra,35,97,68,29,68,0,0.701,10,11,6,17,22,20,0,0,20/21,B
Wullenweber,Finn,HSV,Terzino Sinistro,26,130,68,62,68,0,0.5231,13,16,1,0,0,3,0,0,20/21,B
Bornhauser,Tim,KON,Centrale,29,129,67,62,66,1,0.5194,78,39,2,2,2,2,0,0,20/21,B
Schneider,Lucas,FER,Terzino Destro,36,106,67,39,67,0,0.6321,48,42,3,5,8,10,0,0,20/21,B
Lex,Korbinian,FFB,Terzino Sinistro,36,121,67,54,67,0,0.5537,33,22,19,24,18,21,1,0,20/21,B
Hideg,Daniel,EIS,Terzino Sinistro,23,120,67,53,67,0,0.5583,14,11,3,6,2,11,0,0,20/21,B
Fischer,Jonathan,SGB,Pivot,34,85,67,18,67,0,0.7881999999999999,10,25,6,9,9,15,0,0,20/21,B
Wirtz,Tommy,WÖW,Ala Sinistra,36,105,67,38,40,27,0.6381,2,4,3,0,3,8,1,0,20/21,B
Bandlow,Frieder,TVG,Terzino Destro,35,100,67,33,67,0,0.67,7,10,8,0,4,1,0,0,20/21,B
Scheithauer,Max,DES,Terzino Sinistro,33,107,66,41,66,0,0.6168,43,30,3,3,6,10,0,0,20/21,B
Gonschor,Fynn,VFL,Ala Sinistra,33,105,66,39,66,0,0.6286,2,6,2,0,1,2,0,0,20/21,B
Volz,Patrick,KON,Ala Sinistra,25,88,65,23,43,22,0.7386,1,0,2,0,2,4,0,0,20/21,B
Hild,Matthias,KON,Terzino Destro,34,101,65,36,65,0,0.6436,4,2,8,0,5,5,0,0,20/21,B
Roch,Kevin,AUE,Ala Sinistra,28,102,64,38,63,1,0.6275,3,8,9,21,12,8,3,0,20/21,B
Terhaer,Yannick,TVE,Ala Destra,35,81,64,17,62,2,0.7901,2,6,6,0,2,4,0,0,20/21,B
Kress,Soren,TVE,Centrale,36,130,64,66,64,0,0.4922999999999999,49,40,5,4,6,7,0,0,20/21,B
Ribeiro,Goncalo,AUE,Centrale,19,112,62,50,62,0,0.5536,41,21,3,1,1,1,0,0,20/21,B
Postel,Duncan,WHV,Pivot,31,80,61,19,61,0,0.7625,10,25,5,4,11,14,1,0,20/21,B
Stuber,Jonas,GUM,Pivot,35,78,61,17,60,1,0.7820999999999999,1,27,0,0,1,2,0,0,20/21,B
Grbavac,Ante,DOR,Terzino Sinistro,27,139,60,79,60,0,0.4317,22,18,4,3,6,12,0,0,20/21,B
Spatz,Michael,TVG,Ala Destra,20,76,59,17,11,48,0.7763,5,2,0,0,0,0,0,0,20/21,B
Sabljic,Stanko,WHV,Pivot,29,77,59,18,59,0,0.7662,6,15,5,28,19,17,1,0,20/21,B
Walz,Peter,EIS,Pivot,20,83,59,24,59,0,0.7108,5,12,7,10,12,20,0,0,20/21,B
Franke,Marten,ASV,Ala Destra,31,100,59,41,58,1,0.59,11,7,1,1,2,2,0,0,20/21,B
Theiss,Niklas,TVH,Terzino Destro,33,119,59,60,59,0,0.4957999999999999,25,16,7,1,1,1,0,0,20/21,B
Rink,Thomas,FER,Pivot,33,68,57,11,57,0,0.8382,5,21,3,14,16,23,1,0,20/21,B
ten Velde,Rutger,WHV,Ala Sinistra,35,96,57,39,45,12,0.5938,9,9,7,0,2,6,0,0,20/21,B
Sterba,Jakub,DOR,Ala Destra,35,89,57,32,57,0,0.6404000000000001,14,9,18,1,6,8,0,0,20/21,B
Baumgartner,Florian,NLB,Terzino Destro,23,89,56,33,56,0,0.6292,35,19,0,6,1,3,0,0,20/21,B
Klein,Johannes,TVH,Terzino Sinistro,34,129,56,73,56,0,0.4341,28,20,5,5,15,24,1,0,20/21,B
Vlahovic,Nikola,SGB,Terzino Sinistro,35,117,56,61,56,0,0.4785999999999999,19,24,3,9,3,18,1,0,20/21,B
Petreikis,Benas,NLB,Centrale,35,85,56,29,56,0,0.6587999999999999,66,22,0,0,1,2,0,0,20/21,B
Herzig,Fynn,GUM,Terzino Sinistro,18,92,56,36,56,0,0.6087,28,19,4,9,4,9,0,0,20/21,B
Dierberg,Julius,ELB,Ala Sinistra,32,74,55,19,48,7,0.7432,4,7,3,0,3,1,0,0,20/21,B
Koster,Julian,GUM,Terzino Sinistro,17,95,55,40,55,0,0.5789,76,15,13,3,3,4,0,0,20/21,B
Hansen,Markus,VFL,Centrale,36,99,54,45,54,0,0.5455,39,27,12,18,11,11,1,0,20/21,B
Schliedermann,Marcel,TVE,Centrale,34,83,53,30,53,0,0.6386,31,21,3,5,2,13,1,0,20/21,B
Marcec,Martin,SGB,Ala Sinistra,29,79,53,26,49,4,0.6709,12,3,4,1,1,1,0,0,20/21,B
Petrovsky,Leos,NLB,Pivot,35,65,53,12,53,0,0.8154,5,18,4,16,10,24,3,0,20/21,B
Danneberg,Yannick,DES,Terzino Sinistro,35,110,53,57,51,2,0.4818,22,17,1,10,11,7,0,0,20/21,B
Drager,Yannick,NLB,Pivot,30,61,52,9,52,0,0.8525,17,12,2,25,12,25,2,0,20/21,B
Beckmann,Fynn,KON,Terzino Destro,35,98,52,46,52,0,0.5306000000000001,26,30,1,0,3,13,0,0,20/21,B
Sauer,Julian,WÖW,Ala Destra,28,85,52,33,52,0,0.6118,6,5,3,0,2,7,0,0,20/21,B
Vanco,Marek,ELB,Ala Sinistra,36,72,51,21,51,0,0.7082999999999999,10,7,5,1,5,8,0,0,20/21,B
Asmuth,Jan,SGB,Ala Sinistra,34,88,51,37,51,0,0.5795,5,10,8,4,9,12,1,0,20/21,B
Ossenkopp,Lukas,HSV,Terzino Sinistro,33,75,50,25,23,27,0.6667000000000001,22,11,6,20,14,18,0,0,20/21,B
Schwabe,Jakob,ASV,Pivot,34,59,48,11,48,0,0.8136,5,11,6,18,13,17,0,0,20/21,B
Schramm,Peter,KON,Terzino Sinistro,29,116,48,68,48,0,0.4138,55,21,5,15,17,12,3,0,20/21,B
De Santis,Gabriel,AUE,Terzino Destro,27,94,47,47,47,0,0.5,17,29,3,0,6,14,1,0,20/21,B
Faulenbach,Jonas,FER,Terzino Sinistro,23,83,47,36,47,0,0.5663,37,27,0,3,1,1,0,0,20/21,B
