Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Dumcius,Mindaugas,AUE,RB,37,108,85,106,2,0.5596,63,37,5,8,15,12,0,0,17/18,B
Postel,Duncan,WHV,P,38,107,42,107,0,0.7181000000000001,19,27,8,9,14,23,2,0,17/18,B
Beyer,Noah,TUE,LW,25,105,33,62,43,0.7609,3,9,5,0,2,4,0,0,17/18,B
Herth,Benjamin,WÖW,CB,36,104,100,68,36,0.5097999999999999,24,25,1,0,0,5,0,0,17/18,B
Brosch,Jan,ASV,P,37,104,40,104,0,0.7222,13,35,1,30,21,21,1,0,17/18,B
Spross,Felix,COB,LW,35,103,48,103,0,0.6820999999999999,3,6,12,2,5,7,1,0,17/18,B
Pavlicek,Tomas,DES,RW,35,103,52,63,40,0.6645,5,12,3,0,7,4,0,0,17/18,B
Meinhardt,Eric,AUE,CB,27,103,47,64,39,0.6867,51,33,10,0,3,6,0,0,17/18,B
Brielmeier,Benedikt,WÖW,LB,34,101,86,101,0,0.5401,49,24,7,6,4,12,0,0,17/18,B
Jurgeleit,Tim-Philip,ELB,LW,34,101,32,33,68,0.7594,2,4,2,0,1,0,0,0,17/18,B
Tubic,Dragan,HAG,RB,34,99,70,88,11,0.5858,15,21,4,6,12,12,0,0,17/18,B
Jungemann,Philip,AUE,P,37,99,32,99,0,0.7556999999999999,8,21,8,27,16,22,2,0,17/18,B
Heiny,Lutz,NOL,LB,38,99,143,99,0,0.40909999999999996,36,23,9,7,6,18,1,0,17/18,B
Wiese,Jens,NOL,LB,30,98,124,98,0,0.4414,8,11,8,11,7,7,0,0,17/18,B
Vorlicek,Philipp,NOL,RB,37,98,63,98,0,0.6087,30,26,13,5,20,17,0,0,17/18,B
Marcec,Martin,SGB,LW,34,97,37,96,1,0.7239,12,12,19,1,7,7,0,0,17/18,B
Schult,Jan,VFL,LB,32,96,108,96,0,0.4706,33,31,8,23,15,10,0,0,17/18,B
Verjans,Nicky,NOL,RW,33,95,73,75,20,0.5655,34,16,3,2,6,3,0,0,17/18,B
Faith,Jan,AUE,RW,38,95,66,95,0,0.5901,9,8,8,0,9,8,1,0,17/18,B
Metzner,Antonio,VFL,RB,30,95,83,95,0,0.5337,17,16,8,5,11,6,0,0,17/18,B
